round,x_type,slice,metric,group,client,value
0,g,last_block,norm,malicious,8,1.0763846635818481
0,g,last_block,cos_all,malicious,8,0.5270538330078125
0,g,last_block,cos_loo,malicious,8,0.40539076924324036
0,g,last_block,V_all,malicious,9,2.6715903004514985e-05
0,g,last_block,V_loo,malicious,9,3.2982596167130396e-05
0,g,last_block,norm,malicious,9,0.8657824993133545
0,g,last_block,cos_all,malicious,9,0.5494771003723145
0,g,last_block,cos_loo,malicious,9,0.4564957618713379
0,I,head,Jaccard_BB,BB,-1,0.12489113255881668
0,I,head,Jaccard_MM,MM,-1,0.2605411376576051
0,I,head,Jaccard_BM,BM,-1,0.12285571473676592
0,I,last_block,Jaccard_BB,BB,-1,0.21308165033172935
0,I,last_block,Jaccard_MM,MM,-1,0.2914448945620327
0,I,last_block,Jaccard_BM,BM,-1,0.23250566447774706
1,gI,head,V_all,benign,0,0.022400958463549614
1,gI,head,V_loo,benign,0,0.027655506506562233
1,gI,head,norm,benign,0,6.930257797241211
1,gI,head,cos_all,benign,0,0.5379543900489807
1,gI,head,cos_loo,benign,0,0.4766659736633301
1,gI,head,V_all,benign,1,0.03630295768380165
1,gI,head,V_loo,benign,1,0.044818464666604996
1,gI,head,norm,benign,1,7.407341480255127
1,gI,head,cos_all,benign,1,0.2757681906223297
1,gI,head,cos_loo,benign,1,0.1932569444179535
1,gI,head,V_all,benign,2,0.14117775857448578
1,gI,head,V_loo,benign,2,0.17429356276988983
1,gI,head,norm,benign,2,26.492183685302734
1,gI,head,cos_all,benign,2,0.9083521366119385
1,gI,head,cos_loo,benign,2,0.8200319409370422
1,gI,head,V_all,benign,3,0.48128366470336914
1,gI,head,V_loo,benign,3,0.5941773056983948
1,gI,head,norm,benign,3,42.95232009887695
1,gI,head,cos_all,benign,3,0.925644040107727
1,gI,head,cos_loo,benign,3,0.7464321851730347
1,gI,head,V_all,benign,4,0.026178408414125443
1,gI,head,V_loo,benign,4,0.032319020479917526
1,gI,head,norm,benign,4,3.975477695465088
1,gI,head,cos_all,benign,4,0.32238924503326416
1,gI,head,cos_loo,benign,4,0.2799120545387268
1,gI,head,V_all,benign,5,0.0378492996096611
1,gI,head,V_loo,benign,5,0.04672752693295479
1,gI,head,norm,benign,5,6.426976203918457
1,gI,head,cos_all,benign,5,0.15863342583179474
1,gI,head,cos_loo,benign,5,0.08440787345170975
1,gI,head,V_all,benign,6,0.03867774084210396
1,gI,head,V_loo,benign,6,0.04775029048323631
1,gI,head,norm,benign,6,8.407571792602539
1,gI,head,cos_all,benign,6,0.31038084626197815
1,gI,head,cos_loo,benign,6,0.2179345041513443
1,gI,head,V_all,malicious,7,0.0313577838242054
1,gI,head,V_loo,malicious,7,0.038713324815034866
1,gI,head,norm,malicious,7,3.8323068618774414
1,gI,head,cos_all,malicious,7,0.11476264894008636
1,gI,head,cos_loo,malicious,7,0.07033497840166092
1,gI,head,V_all,malicious,8,0.07010078430175781
1,gI,head,V_loo,malicious,8,0.08654417097568512
1,gI,head,norm,malicious,8,14.954110145568848
1,gI,head,cos_all,malicious,8,0.4561231732368469
1,gI,head,cos_loo,malicious,8,0.3017144203186035
1,gI,head,V_all,malicious,9,0.012387704104185104
1,gI,head,V_loo,malicious,9,0.015293463133275509
1,gI,head,norm,malicious,9,5.079211235046387
1,gI,head,cos_all,malicious,9,0.774254322052002
1,gI,head,cos_loo,malicious,9,0.7487950921058655
1,gI,last_block,V_all,benign,0,3.453112640272593e-06
1,gI,last_block,V_loo,benign,0,4.263102255208651e-06
1,gI,last_block,norm,benign,0,0.3367742598056793
1,gI,last_block,cos_all,benign,0,0.5813910365104675
1,gI,last_block,cos_loo,benign,0,0.4551556408405304
1,gI,last_block,V_all,benign,1,2.3336888261837885e-06
1,gI,last_block,V_loo,benign,1,2.8810970889026066e-06
1,gI,last_block,norm,benign,1,0.20368318259716034
1,gI,last_block,cos_all,benign,1,0.3874504566192627
1,gI,last_block,cos_loo,benign,1,0.2975880205631256
1,gI,last_block,V_all,benign,2,1.5862582586123608e-05
1,gI,last_block,V_loo,benign,2,1.9583430912462063e-05
1,gI,last_block,norm,benign,2,0.7343471646308899
1,gI,last_block,cos_all,benign,2,0.7879601716995239
1,gI,last_block,cos_loo,benign,2,0.5699654221534729
1,gI,last_block,V_all,benign,3,1.0851737897610292e-05
